ds,y,syl
2020.3.20,6195.2,0.005042614
2020.3.21,6226.44,-0.005876552
2020.3.22,6189.85,-0.05932777
2020.3.23,5822.62,0.116706912
2020.3.24,6502.16,0.040960235
2020.3.25,6768.49,-0.010346473
2020.3.26,6698.46,0.009747016
2020.3.27,6763.75,-0.058349288
2020.3.28,6369.09,-0.016978878
2020.3.29,6260.95,-0.059981313
2020.3.30,5885.41,0.088333693
2020.3.31,6405.29,0.003589221
2020.4.1,6428.28,0.034937806
2020.4.2,6652.87,0.023484601
2020.4.3,6809.11,-0.009904378
2020.4.4,6741.67,0.019286023
2020.4.5,6871.69,-0.013715694
2020.4.6,6777.44,0.083476947
2020.4.7,7343.2,-0.018745234
2020.4.8,7205.55,0.022132939
2020.4.9,7365.03,-0.009686315
2020.4.10,7293.69,-0.057645718
2020.4.11,6873.24,0.002671229
2020.4.12,6891.6,0.003449126
2020.4.13,6915.37,-0.008345179
2020.4.14,6857.66,0.002083801
2020.4.15,6871.95,-0.036110565
2020.4.16,6623.8,0.073744678
2020.4.17,7112.27,-0.010879789
2020.4.18,7034.89,0.031908104
2020.4.19,7259.36,-0.017814243
2020.4.20,7130.04,-0.040644933
2020.4.21,6840.24,0.001795259
2020.4.22,6852.52,0.040637605
2020.4.23,7130.99,0.048606154
2020.4.24,7477.6,0.003942441
2020.4.25,7507.08,0.00565333
2020.4.26,7549.52,0.019835698
2020.4.27,7699.27,0.011869957
2020.4.28,7790.66,-0.003251329
2020.4.29,7765.33,0.130361491
2020.4.30,8777.63,-0.01695902
2020.5.1,8628.77,0.022701961
2020.5.2,8824.66,0.016902634
2020.5.3,8973.82,-0.007785982
2020.5.4,8903.95,-0.002023821
2020.5.5,8885.93,0.016321308
2020.5.6,9030.96,0.015483404
2020.5.7,9170.79,0.090689025
2020.5.8,10002.48,-0.01806352
2020.5.9,9821.8,-0.029975157
2020.5.10,9527.39,-0.08112715
2020.5.11,8754.46,-0.015673154
2020.5.12,8617.25,0.022893615
2020.5.13,8814.53,0.05574886
2020.5.14,9305.93,0.052050682
2020.5.15,9790.31,-0.049714463
2020.5.16,9303.59,0.008825625
2020.5.17,9385.7,0.030226834
2020.5.18,9669.4,0.005167849
2020.5.19,9719.37,0.006828632
2020.5.20,9785.74,-0.028109269
2020.5.21,9510.67,-0.047641228
2020.5.22,9057.57,0.012110312
2020.5.23,9167.26,0.001206467
2020.5.24,9178.32,-0.048766005
2020.5.25,8730.73,0.019348898
2020.5.26,8899.66,-0.00638339
2020.5.27,8842.85,0.040110372
2020.5.28,9197.54,0.040409718
2020.5.29,9569.21,-0.014967798
2020.5.30,9425.98,0.028869147
2020.5.31,9698.1,-0.025495716
2020.6.1,9450.84,0.079716724
2020.6.2,10204.23,-0.066507713
2020.6.3,9525.57,0.013906779
2020.6.4,9658.04,0.014135373
2020.6.5,9794.56,-0.017439272
2020.6.6,9623.75,0.0048505
2020.6.7,9670.43,0.008626297
2020.6.8,9753.85,0.002946529
2020.6.9,9782.59,-0.000760535
2020.6.10,9775.15,0.01196708
2020.6.11,9892.13,-0.061231504
2020.6.12,9286.42,0.01868858
2020.6.13,9459.97,0.001430237
2020.6.14,9473.5,-0.015140128
2020.6.15,9330.07,0.010356835
2020.6.16,9426.7,0.010533909
2020.6.17,9526,-0.007473231
2020.6.18,9454.81,-0.007909202
2020.6.19,9380.03,-0.008515964
2020.6.20,9300.15,0.00615904
2020.6.21,9357.43,-0.007763884
2020.6.22,9284.78,0.043848104
2020.6.23,9691.9,-0.007264829
2020.6.24,9621.49,-0.035847878
2020.6.25,9276.58,-0.003851635
2020.6.26,9240.85,-0.009349789
2020.6.27,9154.45,-0.016409506
2020.6.28,9004.23,0.0136869
2020.6.29,9127.47,0.006341297
2020.6.30,9185.35,-0.00559369
2020.7.1,9133.97,0.011211992
2020.7.2,9236.38,-0.016066901
2020.7.3,9087.98,-0.001712152
2020.7.4,9072.42,0.006491102
2020.7.5,9131.31,-0.004623652
2020.7.6,9089.09,0.02858592
2020.7.7,9348.91,-0.009913455
2020.7.8,9256.23,0.019861218
2020.7.9,9440.07,-0.021401324
2020.7.10,9238.04,0.005343125
2020.7.11,9287.4,-0.005538687
2020.7.12,9235.96,0.006489851
2020.7.13,9295.9,-0.006214568
2020.7.14,9238.13,0.001774169
2020.7.15,9254.52,-0.006592454
2020.7.16,9193.51,-0.006799362
2020.7.17,9131,0.0025397
2020.7.18,9154.19,0.002241596
2020.7.19,9174.71,0.004354361
2020.7.20,9214.66,-0.005511869
2020.7.21,9163.87,0.024966526
2020.7.22,9392.66,0.015409905
2020.7.23,9537.4,0.007938222
2020.7.24,9613.11,-0.006431842
2020.7.25,9551.28,0.016355923
2020.7.26,9707.5,0.023830028
2020.7.27,9938.83,0.111036208
2020.7.28,11042.4,-0.00973158
2020.7.29,10934.94,0.015338904
2020.7.30,11102.67,0.001104239
2020.7.31,11114.93,0.02059842
2020.8.1,11343.88,0.042296816
2020.8.2,11823.69,-0.063086904
2020.8.3,11077.77,0.01487664
2020.8.4,11242.57,-0.00429795
2020.8.5,11194.25,0.049671036
2020.8.6,11750.28,0.001928465
2020.8.7,11772.94,-0.014213952
2020.8.8,11605.6,0.013958779
2020.8.9,11767.6,-0.007099154
2020.8.10,11684.06,0.01788505
2020.8.11,11893.03,-0.042091881
2020.8.12,11392.43,0.015859654
2020.8.13,11573.11,0.017654719
2020.8.14,11777.43,-0.00025897
2020.8.15,11774.38,0.008459044
2020.8.16,11873.98,0.003371237
2020.8.17,11914.01,0.031870881
2020.8.18,12293.72,-0.026370374
2020.8.19,11969.53,-0.019677464
2020.8.20,11734,0.011234021
2020.8.21,11865.82,-0.028908242
2020.8.22,11522.8,0.013941056
2020.8.23,11683.44,-0.002603685
2020.8.24,11653.02,0.009517704
2020.8.25,11763.93,-0.036257441
2020.8.26,11337.4,0.011463828
2020.8.27,11467.37,-0.014420046
2020.8.28,11302.01,0.020592797
2020.8.29,11534.75,-0.004604348
2020.8.30,11481.64,0.019695793
2020.8.31,11707.78,-0.004117775
2020.9.1,11659.57,0.022614899
2020.9.2,11923.25,-0.044099553
2020.9.3,11397.44,-0.10615805
2020.9.4,10187.51,0.027521936
2020.9.5,10467.89,-0.029449106
2020.9.6,10159.62,0.009381256
2020.9.7,10254.93,0.011000563
2020.9.8,10367.74,-0.023748667
2020.9.9,10121.52,0.010503363
2020.9.10,10227.83,0.012204935
2020.9.11,10352.66,0.004132271
2020.9.12,10395.44,0.004905997
2020.9.13,10446.44,-0.011072672
2020.9.14,10330.77,0.033285999
2020.9.15,10674.64,0.010396604
2020.9.16,10785.62,0.015095099
2020.9.17,10948.43,-0.000414671
2020.9.18,10943.89,-0.00110564
