ds,yhat
2018.12.14,1220.607207
2018.12.15,1220.607207
2018.12.16,1220.607207
2018.12.17,1226.598349
2018.12.18,1229.180415
2018.12.19,1231.731304
2018.12.20,1234.172532
2018.12.21,1237.045
2018.12.22,1237.045
2018.12.23,1237.045
2018.12.24,1245.659155
2018.12.24,1245.659155
2018.12.25,1245.659155
2018.12.26,1245.659155
2018.12.27,1254.827831
2018.12.28,1257.967727
2018.12.29,1257.967727
2018.12.30,1257.967727
2018.12.31,1266.545239
2018.12.31,1266.545239
2019.1.1,1266.545239
2019.1.2,1272.156429
2019.1.3,1274.45143
2019.1.4,1276.923795
2019.1.5,1276.923795
2019.1.6,1276.923795
2019.1.7,1282.899146
2019.1.8,1284.824816
2019.1.9,1286.408989
2019.1.10,1287.588665
2019.1.11,1288.924215
2019.1.12,1288.924215
2019.1.13,1288.924215
2019.1.14,1291.52383
2019.1.15,1292.388623
2019.1.16,1292.968695
2019.1.17,1293.214201
2019.1.18,1293.697283
2019.1.19,1293.697283
2019.1.20,1293.697283
2019.1.21,1294.322847
2019.1.22,1294.745933
2019.1.23,1294.998435
2019.1.24,1295.031011
2019.1.25,1295.414237
2019.1.26,1295.414237
2019.1.27,1295.414237
2019.1.28,1296.372988
2019.1.29,1297.09346
2019.1.30,1297.719998
2019.1.31,1298.191181
2019.2.1,1299.064341
2019.2.2,1299.064341
2019.2.3,1299.064341
2019.2.4,1301.655895
2019.2.5,1302.924233
2019.2.6,1304.074789
2019.2.7,1304.31132
2019.2.8,1304.896621
2019.2.9,1304.896621
2019.2.10,1304.896621
2019.2.11,1306.176528
2019.2.12,1306.821932
2019.2.13,1307.242526
2019.2.14,1307.356174
2019.2.15,1307.702186
2019.2.16,1307.702186
2019.2.17,1307.702186
2019.2.18,1307.561873
2019.2.19,1307.509658
2019.2.20,1307.131079
2019.2.21,1306.353579
2019.2.22,1305.728071
2019.2.23,1305.728071
2019.2.24,1305.728071
2019.2.25,1302.333994
2019.2.26,1301.139354
2019.2.27,1299.619961
2019.2.28,1297.722741
2019.3.1,1296.018423
2019.3.2,1296.018423
2019.3.3,1296.018423
2019.3.4,1289.829686
2019.3.5,1287.913162
2019.3.6,1285.805232
2019.3.7,1283.467618
2019.3.8,1281.483886
2019.3.9,1281.483886
2019.3.10,1281.483886
2019.3.11,1275.516163
2019.3.12,1274.044357
2019.3.13,1272.568502
2019.3.14,1271.046926
2019.3.15,1270.056764
2019.3.16,1270.056764
2019.3.17,1270.056764
2019.3.18,1268.02623
2019.3.19,1268.135544
2019.3.20,1268.343898
2019.3.21,1268.587687
2019.3.22,1269.420463
2019.3.23,1269.420463
2019.3.24,1269.420463
2019.3.25,1272.951888
2019.3.26,1274.859637
2019.3.27,1276.795678
2019.3.28,1278.671786
2019.3.29,1281.018297
2019.3.30,1281.018297
2019.3.31,1281.018297
2019.4.1,1288.177145
